IP,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
140.112.32.173,0,0,0,0,0,0,0,0,0,0,0,1,0
140.112.73.8,0,1,0,0,0,0,0,0,0,0,0,0,0
140.112.77.4,2,0,0,0,0,0,0,0,0,0,0,0,0
140.124.102.232,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.103.64,0,2,0,0,0,0,0,0,0,0,0,0,0
140.124.104.34,220,38,0,0,0,0,0,0,27,0,1,1,0
140.124.11.152,9,0,0,0,0,0,0,0,0,0,0,0,0
140.124.114.178,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.125.65,53,2,0,0,0,0,0,0,12,0,0,1,0
140.124.126.100,44,10,0,0,0,0,0,0,0,0,0,2,0
140.124.127.7,8,1,0,0,0,0,0,0,0,0,0,0,0
140.124.13.250,11,0,0,8,1,0,12,1,2,7,0,7,0
140.124.131.43,6,0,0,0,0,0,0,0,0,0,0,0,0
140.124.134.79,0,0,0,0,0,0,0,0,0,1,0,0,0
140.124.138.152,7,0,0,0,0,0,0,0,0,0,0,0,0
140.124.141.182,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.144.39,18,0,0,0,0,0,0,0,0,0,0,0,0
140.124.147.80,7,0,0,0,0,0,0,0,0,0,0,0,0
140.124.15.82,0,0,0,0,0,0,0,0,1,0,0,0,0
140.124.17.254,3,0,0,0,0,0,0,0,0,0,0,0,0
140.124.180.133,6,0,0,0,0,0,0,0,0,0,0,0,0
140.124.181.47,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.181.65,0,1,0,0,0,0,0,0,0,0,0,0,0
140.124.181.68,0,0,0,0,0,0,0,0,4,0,0,0,0
140.124.181.72,3,0,0,0,0,0,0,0,0,0,0,0,0
140.124.181.73,4,1,0,0,0,0,0,0,4,0,0,0,0
140.124.182.74,99,7,0,0,0,0,0,0,1,0,0,1,0
140.124.183.93,10,0,0,0,0,0,0,0,0,1,1,0,0
140.124.190.50,3,0,0,0,0,0,0,0,0,0,0,0,0
140.124.191.140,2,0,0,0,0,0,0,0,0,0,0,0,0
140.124.201.84,21,11,0,0,0,0,0,0,4,0,5,4,0
140.124.230.54,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.241.90,13,11,0,0,0,0,29,33,70,152,49,32,0
140.124.249.100,319,88,0,0,0,0,0,0,60,16,0,0,0
140.124.25.150,4,3,0,0,0,0,0,0,1,0,0,0,0
140.124.26.65,5,1,0,0,0,0,0,0,0,0,0,0,0
140.124.27.43,2,1,0,0,0,0,0,0,0,0,0,0,0
140.124.3.82,6,1,0,0,0,0,0,0,0,0,0,0,0
140.124.30.67,24,28,0,0,0,0,0,0,0,0,0,0,0
140.124.31.97,27,7,0,0,0,0,0,0,2,0,1,0,0
140.124.32.67,94,33,0,0,0,0,0,0,3,3,3,5,0
140.124.33.83,28,12,2,8,2,1,0,0,17,0,1,5,0
140.124.35.59,8,1,0,0,0,0,0,0,0,0,0,0,0
140.124.36.243,3,0,0,0,0,0,0,0,2,0,0,0,0
140.124.39.39,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.4.101,1,0,0,0,0,0,0,0,0,0,0,1,0
140.124.40.46,8,0,0,0,0,0,0,0,0,0,0,0,0
140.124.41.124,19,14,0,0,0,0,0,0,0,0,0,0,0
140.124.42.80,34,5,0,0,0,0,0,0,5,0,0,0,0
140.124.43.78,11,4,0,0,0,0,0,0,5,0,2,0,0
140.124.44.91,16,2,0,0,0,0,0,0,5,0,0,0,0
140.124.45.76,13,9,0,0,0,1,0,0,4,4,0,0,0
140.124.47.10,8,10,0,0,0,0,0,0,2,0,0,1,0
140.124.50.94,198,66,4,3,0,1,1,2,44,11,4,9,0
140.124.51.95,7,0,0,0,0,0,0,0,4,1,2,3,0
140.124.52.97,80,13,0,0,0,0,0,0,5,2,1,0,0
140.124.55.88,27,15,0,0,0,0,0,0,5,9,0,5,0
140.124.56.84,39,1,0,0,0,0,0,0,11,3,0,7,0
140.124.61.80,11,1,0,0,0,0,5,8,3,0,0,0,0
140.124.62.59,2,0,0,0,0,0,2,3,1,0,0,0,0
140.124.63.9,6,0,0,0,0,0,0,0,1,0,0,0,0
140.124.64.98,39,0,0,0,0,0,0,0,4,0,0,0,0
140.124.65.91,53,5,0,0,0,0,0,0,10,3,1,4,0
140.124.66.202,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.70.118,8,1,0,0,0,0,0,0,0,0,0,0,0
140.124.71.83,115,0,0,0,0,0,0,0,0,0,0,0,0
140.124.72.10,77,6,0,0,0,2,0,1,0,1,0,0,0
140.124.73.97,8,7,0,0,2,8,0,2,5,14,18,3,0
140.124.75.97,36,3,0,0,0,0,0,0,0,0,0,0,0
140.124.76.9,34,10,0,0,0,0,0,2,15,4,1,7,0
140.124.77.233,16,0,0,0,0,0,0,0,0,0,0,0,0
140.124.8.89,21,5,0,0,0,0,0,0,1,0,0,0,0
140.124.81.78,2,0,0,0,0,0,0,0,2,0,0,0,0
140.124.82.63,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.85.235,0,0,0,0,0,0,0,0,1,0,0,0,0
140.124.86.1,1,0,0,0,0,0,0,0,0,0,0,0,0
140.124.90.249,4,2,0,0,0,0,0,0,0,0,0,0,0
140.124.93.99,22,0,0,0,0,0,0,0,3,0,2,0,0
